Gene	Pathway1	Pathway2	BCCount	Type	meanWTfraction	SumTrial	SumCounts	meanLFC	meanPScore	meanManHdist	meanEuclDist	sdType	RankUp	RankPval
Med14	unassigned	""	5	POLQ-deletion	0.724326289	25212	5599	-0.008473399	1.87969558	1.978738093	1.88278176	0.057883088	10070	14998
Cebpg	unassigned	""	5	POLQ-deletion	0.50082368	97100	22787	0.040728732	1.879645616	1.929613564	1.880390638	0.057883088	3465	14999
Amz1	unassigned	""	5	POLQ-deletion	0.502816933	116337	26312	-0.005824301	1.879621282	1.914931891	1.880138937	0.057883088	9708	15000
Tmem30a	unassigned	""	5	POLQ-deletion	0.559922579	67572	15435	-0.011975683	1.879527097	1.947337828	1.880843405	0.057883088	10596	15001
Fmn1	unassigned	""	5	POLQ-deletion	0.509932801	95039	21781	-0.010434734	1.879238054	1.931029205	1.880081208	0.057883088	10383	15002
Dpf2	unassigned	""	5	POLQ-deletion	0.542568359	73853	16718	-0.019672399	1.879196497	1.924143353	1.879953064	0.057883088	11651	15003
Pidd1	unassigned	""	5	POLQ-deletion	0.505045757	64280	14551	-0.002114845	1.87782465	1.938779997	1.879063158	0.057883088	9199	15004
Actrt1	unassigned	""	5	POLQ-deletion	0.497869502	90794	20347	0.003586093	1.877630674	1.927713281	1.878468732	0.057883088	8415	15005
Slc43a3	unassigned	""	5	POLQ-deletion	0.509080578	78443	17936	0.00363037	1.877481863	1.937982561	1.878553429	0.057883088	8410	15006
Gm1673	unassigned	""	5	POLQ-deletion	0.517545437	79793	17385	0.002723877	1.877001234	1.936683516	1.878061453	0.057883088	8533	15007
Dedd2	unassigned	""	5	POLQ-deletion	0.49625167	94469	22082	0.038520923	1.876838687	1.930609641	1.877683412	0.057883088	3695	15008
Aspg	unassigned	""	5	POLQ-deletion	0.501535889	113942	25596	-0.019457784	1.87677736	1.926886793	1.877503334	0.057883088	11621	15009
Pcdhb3	unassigned	""	5	POLQ-deletion	0.516793943	74080	16684	-0.021265543	1.876592561	1.933089925	1.877634821	0.057883088	11865	15010
Tppp	unassigned	""	5	POLQ-deletion	0.483278842	103000	23244	-0.02222274	1.876467813	1.926445763	1.877290131	0.057883088	11970	15011
Slc44a1	unassigned	""	5	POLQ-deletion	0.495857091	67872	15479	-0.006559705	1.876391526	1.941474605	1.877635497	0.057883088	9803	15012
Rpgrip1l	unassigned	""	5	POLQ-deletion	0.554440353	67484	14885	-0.047074262	1.876308748	1.943101262	1.877594907	0.057883088	14415	15013
Lrrc8c	unassigned	""	5	POLQ-deletion	0.509558387	97856	21989	-0.007239992	1.875755193	1.921132694	1.876509051	0.057883088	9893	15014
Psme1	unassigned	""	4	POLQ-deletion	0.556948424	36418	8078	-0.062103525	1.874342344	1.952645812	1.876537642	0.057883088	15342	15015
Inhbe	unassigned	""	5	POLQ-deletion	0.519855353	108361	24847	0.009556084	1.874033596	1.926972995	1.874813107	0.057883088	7541	15016
Fabp5	unassigned	""	4	POLQ-deletion	0.585645251	22585	5039	-0.030920374	1.873997599	1.989744738	1.87796908	0.057883088	12967	15017
Zfp446	unassigned	""	5	POLQ-deletion	0.564766742	67177	15255	-0.00102267	1.873601679	1.933047344	1.874743015	0.057883088	9050	15018
Psmg3	unassigned	""	3	POLQ-deletion	0.717757952	15265	3254	-0.042667163	1.873261908	1.987198425	1.877083584	0.057883088	14075	15019
Bcas1	unassigned	""	5	POLQ-deletion	0.502040241	95644	22205	0.017099991	1.873154848	1.907902737	1.873727927	0.057883088	6452	15020
Aox3	unassigned	""	5	POLQ-deletion	0.530531503	70148	15592	-0.053414248	1.872851039	1.937548147	1.874077444	0.057883088	14853	15021
Skil	unassigned	""	5	POLQ-deletion	0.496124009	72767	16788	0.004293872	1.872762938	1.928391621	1.873755201	0.057883088	8325	15022
Krt27	unassigned	""	4	POLQ-deletion	0.517781029	68550	15665	-0.003352944	1.872656545	1.923349024	1.873594366	0.057883088	9383	15023
Cln6	unassigned	""	4	POLQ-deletion	0.490187747	61725	13965	-0.003357999	1.872510617	1.936406504	1.873690504	0.057883088	9385	15024
Foxm1	unassigned	""	5	POLQ-deletion	0.506929813	102717	23816	0.015662536	1.872445351	1.923421451	1.873222447	0.057883088	6666	15025
Mboat7	unassigned	""	5	POLQ-deletion	0.550650564	59249	13802	0.030031004	1.872295616	1.929576607	1.873495121	0.057883088	4729	15026
Snip1	unassigned	""	5	POLQ-deletion	0.578499567	61085	14259	0.067301377	1.871464454	1.938765831	1.872802282	0.057883088	1398	15027
Mrgprx2	unassigned	""	5	POLQ-deletion	0.487710968	61307	13492	-0.057940258	1.871403588	1.932555625	1.872520409	0.057883088	15117	15028
Emc10	unassigned	""	5	POLQ-deletion	0.515812773	97591	22244	0.000930022	1.8714026	1.922895112	1.872183407	0.057883088	8790	15029
A3galt2	unassigned	""	5	POLQ-deletion	0.520060001	72683	16138	-0.01069084	1.871068005	1.911806618	1.871818754	0.057883088	10421	15030
